id;test;ctrl;valence;time;q1;q2;q3;q4;q5;q6;q7;q8;q9;q10;q11;q12;age;gender;income;work;car;edu;device;day;hour
159;2;5;4;1643;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;6;10
159;6;7;3;1529;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;6;10
159;2;7;2;1545;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;6;10
159;5;7;4;1638;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;6;10
159;3;6;1;1663;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;6;10
159;5;7;1;2053;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;6;10
160;6;6;5;2900;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;1;7;5;2051;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;2;7;5;1680;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;6;7;1;1633;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;5;7;5;2389;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;3;7;1;1491;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;4;7;4;2501;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;5;6;3;1606;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;6;7;1;1511;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;6;7;5;2428;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;2;6;5;2832;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;6;5;3;2559;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;2;5;5;1526;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;5;5;4;2250;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;3;5;4;2896;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;3;7;3;1964;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;6;5;4;3463;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;2;7;1;1866;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;3;6;5;3829;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;4;6;5;4052;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;6;6;3;2696;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
